,Job Title,Salary Estimate,Job Description,Skills,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,hourly,min_salary,max_salary,avg_salary,company_txt,job_state,age,python_yn,R_yn,spark,cloud,excel,sql,machine_learning,statistics,salary_range,job_simp,seniority,desc_len
236,Applied Scientist II,$98K - $209K (Employer est.),"They will play a key role in driving algorithmic improvements to online and offline systems, develop and deliver robust and scalable solutions, make direct……","Skills: TensorFlow, Statistics, Computer science, Data mining, Research",4.2,Microsoft,"Redmond, WA",10000+ Employees,1975,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD),0,98.0,209.0,153.5,Micros,WA,49,0,1,0,0,1,0,0,1,111.0,na,na,157
237,Associate Scientist - Chemical Data Steward,$85K - $115K (Employer est.),"The ideal candidate is able to critically evaluate supplier material descriptions, chemical identification and other supplier data to develop a data package for……","Skills: Organic chemistry, GPS, Data entry, Data collection, Communication skills",4.1,Procter & Gamble,"Mason, OH",10000+ Employees,1837,Company - Public,Consumer Product Manufacturing,Manufacturing,$10+ billion (USD),0,85.0,115.0,100.0,Procter & Gam,OH,187,0,1,0,0,1,0,0,0,30.0,na,na,162
238,Data Scientist,$77K - $128K (Glassdoor est.),"Problem-Solving, using data to help the company make decisions, finding patterns and solutions to improve our capabilities, and develop investment strategies.…","Skills: Power BI, Data mining, Big data, R, Tableau",4.0,Michelin,"Woodburn, IN",10000+ Employees,1889,Company - Public,Machinery Manufacturing,Manufacturing,$10+ billion (USD),0,77.0,128.0,102.5,Miche,IN,135,0,1,0,0,1,0,0,0,51.0,data scientist,na,159
239,Data Scientist - Machine Learning,$206K - $281K (Employer est.),"Bachelor's degree in Computer Science, Computer Engineering, relevant technical field, or equivalent practical experience.…","Skills: Computer science, Data mining, R, SQL, Machine learning",4.0,Instagram,"San Francisco, CA",10000+ Employees,2004,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),0,206.0,281.0,243.5,Instag,CA,20,0,1,0,0,1,1,1,0,75.0,data scientist,na,123
240,Data Scientist,$122K - $175K (Glassdoor est.),"You have outstanding communication skills, proven data science and advanced analytics capabilities, strong business acumen, and an innate drive to deliver……","Skills: Kubernetes, Relational databases, Tableau, Docker, Machine learning",4.1,Apple,"Austin, TX",10000+ Employees,1976,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD),0,122.0,175.0,148.5,Ap,TX,48,0,1,0,0,1,0,1,0,53.0,data scientist,na,156
241,Biological Data Scientist,$70K - $105K (Employer est.),"As a computational biologist at the Pancreatic Cancer Center for Excellence (PCCE), in close collaboration with bioinformaticians, biological scientists, and……","Skills: Microsoft Powerpoint, Microsoft Word, Microsoft Excel, Operating systems, Microsoft Outlook",3.9,University of Nebraska Medical Center,"Omaha, NE",5001 to 10000 Employees,1869,College / University,Colleges & Universities,Education,$5 to $25 million (USD),0,70.0,105.0,87.5,University of Nebraska Medical Cen,NE,155,0,1,0,0,1,0,0,0,35.0,data scientist,na,159
242,Machine Learning Engineer,$75K - $198K (Employer est.),"If you have a foundation in online platform trust and safety issues, skills in data science and machine learning and an empathetic approach to mentoring and……","Skills: SQL, Machine learning, GitHub, Data science, GraphQL",3.8,"GitHub, Inc.",Remote,1001 to 5000 Employees,2008,Subsidiary or Business Segment,Internet & Web Services,Information Technology,Unknown / Non-Applicable,0,75.0,198.0,136.5,"GitHub, I",,16,0,1,0,0,1,1,1,0,123.0,mle,na,158
243,"Manager, Clinical Data Scientist, Clinical Data Sciences",$84K - $156K (Employer est.),"Participates and ensures quality database design including documentation, testing and implementation of clinical data collection tools, both CRF and non-CRF,……","Skills: Microsoft Access, Oracle, Clinical research, Relational databases, Microsoft SQL Server",3.9,Pfizer,"Bothell, WA",Unknown,1849,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),0,84.0,156.0,120.0,Pfi,WA,175,0,1,0,0,1,1,0,0,72.0,data scientist,na,159
244,"Senior Data Scientist, Analytics Hub Team",$160K - $190K (Employer est.),Identify and quantify causal relationships to better understand the levers available for driving specific business outcomes.…,"Skills: TensorFlow, Relational databases, Software deployment, Spark, R",4.0,GameChanger,United States,51 to 200 Employees,2009,Company - Public,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,0,160.0,190.0,175.0,GameChan,,15,0,1,1,0,1,0,0,0,30.0,data scientist,senior,125
245,Data Scientist,$117K - $211K (Employer est.),Collaborate with other Data Scientists and other customer organizations to develop processes and tools to monitor and analyze model performance and data……,"Skills: AWS, Machine learning, Data science, AI, Python",4.0,Parsons,Maryland,10000+ Employees,1944,Company - Public,Information Technology Support Services,Information Technology,$1 to $5 billion (USD),0,117.0,211.0,164.0,Pars,,80,1,1,0,1,1,0,1,0,94.0,data scientist,na,154
